UniProtKB:Q9Y2P0	ZNF835
UniProtKB:O95498	VNN2
UniProtKB:O95497	VNN1
UniProtKB:Q9H0Z9	RBM38
UniProtKB:Q16581	C3AR1
UniProtKB:Q9Y305	ACOT9
UniProtKB:Q9Y303	AMDHD2
UniProtKB:O95486	SEC24A
UniProtKB:P62508	ESRRG
UniProtKB:Q9Y2N7	HIF3A
UniProtKB:P0C7X2	ZNF688
UniProtKB:O95479	H6PD
UniProtKB:O95478	NSA2
UniProtKB:O95477	ABCA1
UniProtKB:O95476	CTDNEP1
UniProtKB:O95475	SIX6
UniProtKB:O95470	SGPL1
UniProtKB:Q9Y2M5	KLHL20
UniProtKB:P10176	COX8A
UniProtKB:Q9Y2M0	FAN1
UniProtKB:Q9Y6N3	CLCA3P
UniProtKB:O95461	LARGE1
UniProtKB:Q9Y2L8	ZKSCAN5
UniProtKB:Q9Y2L1	DIS3
UniProtKB:P30626	SRI
UniProtKB:Q96GX5	MASTL
UniProtKB:O95450	ADAMTS2
UniProtKB:Q96GX9	APIP
UniProtKB:P25963	NFKBIA
UniProtKB:Q9Y2K7	KDM2A
UniProtKB:Q9Y2K2	SIK3
UniProtKB:Q9Y2K1	ZBTB1
UniProtKB:P10155	TROVE2
UniProtKB:P10153	RNASE2
UniProtKB:P05496	ATP5G1
UniProtKB:O95445	APOM
UniProtKB:P99999	CYCS
UniProtKB:P30613	PKLR
UniProtKB:Q8NCW6	GALNT11
UniProtKB:Q8NCW5	NAXE
UniProtKB:Q8ND82	ZNF280C
UniProtKB:P10147	CCL3
UniProtKB:P10145	CXCL8
UniProtKB:P10144	GZMB
UniProtKB:O95436	SLC34A2
UniProtKB:Q14697	GANAB
UniProtKB:Q14694	USP10
UniProtKB:Q14693	LPIN1
UniProtKB:Q14692	BMS1
UniProtKB:Q14691	GINS1
UniProtKB:Q14690	PDCD11
UniProtKB:P25942	CD40
UniProtKB:P25940	COL5A3
UniProtKB:Q8ND76	CCNY
UniProtKB:Q9Y2I8	WDR37
UniProtKB:O94761	RECQL4
UniProtKB:Q9Y2I2	NTNG1
UniProtKB:Q9Y2I1	NISCH
UniProtKB:O95429	BAG4
UniProtKB:O95428	PAPLN
UniProtKB:Q14689	DIP2A
UniProtKB:Q14686	NCOA6
UniProtKB:Q14684	RRP1B
UniProtKB:Q14683	SMC1A
UniProtKB:Q14681	KCTD2
UniProtKB:Q14680	MELK
UniProtKB:M0R1X1	M0R1X1
UniProtKB:Q9Y2H9	MAST1
UniProtKB:Q9Y2H8	ZNF510
UniProtKB:Q14679	TTLL4
UniProtKB:Q14676	MDC1
UniProtKB:Q14674	ESPL1
UniProtKB:Q14671	PUM1
UniProtKB:Q8ND56	LSM14A
UniProtKB:Q0VD86	INCA1
UniProtKB:Q8NCT1	ARRDC4
UniProtKB:Q0VD83	APOBR
UniProtKB:Q9Y2G0	EFR3B
UniProtKB:P10114	RAP2A
UniProtKB:Q5D1E8	ZC3H12A
UniProtKB:Q14669	TRIP12
UniProtKB:P05452	CLEC3B
UniProtKB:O95402	MED26
UniProtKB:O95400	CD2BP2
UniProtKB:Q8NCS7	SLC44A5
UniProtKB:Q9Y2F9	BTBD3
UniProtKB:P52298	NCBP2
UniProtKB:Q96A72	MAGOHB
UniProtKB:Q96A70	AZIN2
UniProtKB:P52294	KPNA1
UniProtKB:Q9H1E1	RNASE7
UniProtKB:Q9H1E5	TMX4
UniProtKB:Q14657	LAGE3
UniProtKB:Q14654	KCNJ11
UniProtKB:Q14653	IRF3
UniProtKB:Q96A65	EXOC4
UniProtKB:Q9Y2E5	MAN2B2
UniProtKB:Q9Y2E4	DIP2C
UniProtKB:Q14644	RASA3
UniProtKB:Q14643	ITPR1
UniProtKB:Q14642	INPP5A
